	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS
P12931	10.6402	11.1783	9.1634	11.0918	11.156	11.5547	10.7597	9.66302	9.78152	10.0898	11.8784	11.4708	11.3066	10.8159	8.8173	11.0046	9.33762	10.8172	11.6632	10.5929	10.954	9.93958	9.5159	9.43171	10.4627	10.5038	10.8258	11.4506	10.2234	10.4935	10.0225	10.4697	10.5809	11.116	9.57837	10.3839	11.1101	11.8054	10.8553	11.3297	10.6965	9.64944	11.4069	10.4023	9.64818	9.69262	10.5858	11.0336	11.1053	9.3505	10.1784	10.8574	10.974	11.7405	12.0447	11.2199	9.09513	11.738	10.6739	9.72605	9.75255	10.4935	11.1608	10.8469	9.88478	10.6203	9.93369	10.6197	11.7415	11.3044	10.9356	11.0782	10.9383	10.8924	9.55516	10.5094	10.8619	10.8792	10.5022	10.9479	11.4658	11.3015	10.6651	10.1762	9.72434	10.8965	11.1611
Q9NUQ9	9.33002	9.43442	8.36851	10.2286	9.5567	9.19599	9.54689	8.58271	7.08002	9.58834	9.03177	8.98982	9.01987	9.30583	8.21868	7.89421	9.86109	9.78398	9.39832	9.65428	9.28147	9.31402	7.86481	8.108	9.48402	9.4028	9.40322	9.616	9.68773	7.13955	10.2109	9.97355	9.76255	8.46923	7.14771	7.80864	8.9331	9.55689	8.6435	8.48945	9.36348	9.20359	10.0975	9.6268	9.44729	8.69488	9.38629	9.90749	10.0697	8.89724	10.3342	8.6453	8.59954	9.10538	8.70943	8.81538	9.83621	10.4516	9.46822	9.35601	7.81121	9.36567	9.61102	9.65678	8.1814	9.97341	9.90373	9.52532	8.34917	7.93192	9.69209	9.14593	9.08002	9.51944	7.71768	9.75272	8.90809	7.78986	9.08348	9.35425	9.51333	9.10119	9.36194	9.13904	7.67243	9.32373	9.51649
Q16666	5.74953	9.65535	8.55612	9.55957	9.9629	7.62498	8.67419	8.92303	10.0144	9.66249	8.50184	5.37504	5.14568	9.79247	8.53255	9.4113	9.47208	10.1881	9.33181	9.55651	9.81826	9.84847	9.65642	10.142	9.85425	9.24365	9.67754	8.3906	11.0596	8.73911	8.88111	8.71596	8.46312	8.0433	10.0898	8.9747	8.45327	9.55727	9.08614	8.61508	4.63807	9.04494	9.56739	8.83668	10.3474	9.3626	9.34185	8.86604	9.23936	7.73674	8.86264	8.27286	9.23242	9.47107	7.84737	4.60881	9.6566	9.62607	9.60233	9.55861	10.2115	9.41299	8.64205	9.67472	8.5691	8.25172	8.42206	8.89026	8.01569	8.70977	9.61967	8.85269	5.32553	9.64494	8.58909	8.74853	8.52239	8.96261	9.10171	8.88509	9.40833	8.64314	9.59935	9.53955	9.73539	9.48663	8.55995
Q92619	9.71081	9.75922	9.42794	10.3283	9.84345	8.25503	9.25739	8.74315	8.75922	9.46475	8.81954	9.95274	9.7058	9.87267	8.92452	10.4678	9.82671	10.2342	9.95594	9.45162	9.41553	9.2635	9.07468	8.7492	9.42059	9.36107	8.88905	9.29232	9.58834	9.37439	10.5394	10.0728	9.94383	9.99788	10.0256	10.3168	10.3267	9.64151	8.55804	8.37286	9.44232	9.00282	9.64566	9.35425	9.6453	8.57818	9.64205	9.19205	9.31583	8.82177	10.4691	9.91079	10.1916	10.5998	8.604	9.76421	9.96159	9.72178	9.56548	9.25762	9.23386	9.43338	9.13981	9.79977	9.29806	10.4566	10.4683	9.78545	10.5702	10.3878	10.3801	8.35579	9.6886	9.71476	9.19451	10.3198	9.63081	10.1316	8.82209	10.1306	9.8631	8.61139	9.45677	9.2731	9.06878	9.30035	9.1639
Q96QK1	9.42459	9.3696	9.26092	5.31107	9.07948	9.38284	9.39938	10.1673	9.05745	8.979	9.2396	9.3966	9.48945	9.19599	9.32755	9.15583	6.32373	5.41954	9.80009	9.32328	9.26749	10.2708	9.39575	9.44253	9.53877	9.50978	9.59302	9.56453	9.15735	8.94222	9.89011	9.97499	9.38974	9.59861	8.87006	9.12903	4.40599	9.65302	9.18364	9.2628	9.73927	5.6893	9.28679	9.28679	10.2146	9.32912	9.54052	9.53625	9.45553	9.51333	9.55804	10.1236	9.92615	8.579154007	9.13186	9.63245	6.60733	9.69192	9.11608	10.2037	9.24531	9.17193	9.82369	9.24982	9.32035	9.90839	9.71304	9.75672	9.58214	9.35931	5.37504	9.3474	9.61416	9.03012	9.13366	9.80703	9.2148	9.11608	6.0045	4.87774	9.09064	9.4028	9.29921	10.2505	9.4045	9.47796	9.35645
P51608	8.09434	8.66959	9.00815	7.60511	9.32845	8.406495497	5.16189	8.84831	8.72962	11.1094	9.39038	7.20555	8.19426	9.08002	7.90388	10.1713	9.36872	8.17991	7.71218	5.62644	5.74416	9.16088	8.71802	7.92005	9.35711	9.81362	9.76388	9.2211	9.42982	8.52199	9.91648	9.10591	9.49426	8.08268	10.4044	9.71682	6.50621	8.12774	8.632589878	8.484873489	7.17891	8.83289	9.28263	5.853	9.98257	8.48301	10.556	10.0666	8.13904	8.10696	10.7018	8.76188	10.1604	8.23793	8.345932881	7.15279	9.4315	8.70598	5.2854	9.39596	8.54844	9.90373	9.3289	8.84266	8.74651	8.59246	9.24745	8.8141	7.57516	9.53489	6.74147	8.64342997	7.6125	8.63807	8.48422	9.47958	8.79214	9.74836	8.90177	6.97269	8.55036	8.643572275	5.80993	9.35909	8.43879	9.80155	9.49625
O75533	8.59544	8.06016	8.27891	7.82452504	7.11374	6.50621	7.68159	9.01542	5.39917	6.83542	8.0433	8.46597	8.70321	8.32778	8.19525	8.43546	7.91886	7.794355052	7.5345	7.81698	7.4814	9.72741	5.17792	5.11686	7.34341	7.52199	7.36019	7.42878	10.1999	7.88874	9.43588	9.64043	7.76222	7.55689	7.88264	8.17891	7.739026091	7.59991	7.24698	6.51885	8.79149	7.45943	7.79636	7.73471	9.48663	4.43962	7.29921	7.97785	8.13083	8.57516	9.83983	7.53838	8.24317	7.896381618	6.1416	8.72656	7.98755	8.02625	7.97842	9.5343	5.0917	7.79507	7.55382	8.02292	8.14364	9.58045	9.87851	7.63952	6.48059	8.16541	7.786061605	7.39917	9.07788	8.25077	7.99944	9.6566	7.21626	8.11634	7.31107	7.82663187	7.01346	6.97039	7.82018	9.33985	4.9542	7.15178	7.77215
P11586	10.3336	9.29669	10.08	9.46923	7.04549	9.79214	10.2484	9.17867	8.73708	9.16063	7.84298	10.3423	10.2745	9.31696	9.82496	9.77873	7.60511	9.49205	7.40173	10.07	10.0505	9.87744	9.22328	9.54516	9.39639	9.6779	7.81762	8.2293	8.91319	9.75238	10.3351	10.5578	10.9804	10.6233	9.95826	9.55727	8.99464	7.52669	9.90147	9.69262	10.4789	7.05202	7.62644	9.70891	9.76288	9.0143	9.77232	8.38586	8.95507	9.82464	10.4652	10.5713	9.41701	9.61453	9.62406	10.4324	7.44128	7.91349	9.92733	9.93649	9.27449	9.88753	8.19279	9.19353	9.95971	10.4879	10.7606	10.4677	10.2501	9.29048	9.5844	9.99095	10.4277	9.01653	9.83842	10.431	10.3852	9.44128	7.21917	9.47025	7.16088	9.95623	10.0475	9.74349	9.28517	9.4045	8.23984
P32119	11.9081	11.2234	10.1716	10.5522	11.3335	11.9554	11.764	10.4949	10.6149	11.071	10.526	10.2557	10.5848	10.5757	8.54612	10.9407	10.6936	10.0083	9.94383	10.4877	10.6711	10.3282	11.4118	11.274	11.2981	11.1827	9.49265	10.3942	9.13468	8.35447	10.016	9.87805	8.84987	10.2687	9.48261	10.8019	10.3989	10.6793	11.5751	11.5024	11.5023	11.1638	10.6425	10.7136	10.7117	11.9472	11.5793	11.0513	11.5538	10.1102	10.12	12.1269	11.2219	9.79734	11.0394	11.1206	10.4532	10.5559	12.5478	11.0787	11.0208	11.5952	10.2071	10.1546	9.34385	10.3741	9.42878	10.4792	9.80462	10.6798	10.1613	12.0305	10.9367	10.9731	9.43796	10.6421	11.0983	10.8363	10.7416	10.708	10.4082	11.2789	11.096	10.7912	11.3267	11.3507	10.6231
P36542	11.0054	10.5034	10.6517	10.6648	10.1222	10.6458	9.49785	10.7034	11.0487	10.5707	11.1504	11.6447	11.2425	10.5843	10.5427	9.96449	10.9727	10.9042	10.3577	9.9571	9.72144	10.8514	10.0389	10.1577	9.91304	10.4639	11.091	11.292	10.4966	11.2304	10.5652	10.7846	10.4349	10.6221	10.3329	9.79734	10.8345	9.71562	11.3477	11.0304	10.9771	11.1147	10.2989	9.68527	11.0056	10.1654	10.5256	11.3847	9.75639	10.5193	11.2046	10.9118	10.1422	11.1599	10.8423	11.012	10.8554	10.4301	9.83779	10.9608	10.581	10.1528	10.8418	10.3982	10.7758	10.6621	10.5501	10.9079	10.9102	10.2372	10.5178	11.3839	11.1421	10.3077	10.6675	10.7981	10.7161	10.0538	11.1973	10.7378	9.66124	11.1003	9.82671	10.99	10.3659	10.3606	11.2058
P40925	11.6902	11.0842	11.5939	10.5892	10.8286	11.501	12.0068	9.80929	10.3867	9.65338	10.1657	10.9501	11.0903	10.6253	11.03	10.9469	10.845	10.8715	10.1285	11.2438	11.4005	10.5101	10.7031	10.4509	10.4415	10.7831	10.2815	11.1495	10.4095	10.9369	10.8301	10.896	10.8286	10.5918	10.8857	11.0006	10.6683	11.2096	10.5484	10.487	11.5966	11.5509	10.3426	10.2726	10.9529	11.3193	11.2018	11.1784	11.2946	11.6469	11.3724	11.6019	10.9066	10.7887	10.7494	10.8525	11.1664	10.116	11.1335	10.9971	10.8479	10.7591	10.8208	10.8537	11.147	10.9137	10.7056	11.1798	10.7041	10.6216	10.6077	10.9251	11.1599	10.9374	11.1415	11.0814	10.9481	10.7107	11.4238	11.0572	10.9115	10.7824	11.3121	10.5873	10.839	10.7956	11.0267
Q6P2Q9	9.41469	9.98257	8.65392	5.6837	8.93487	7.78267	9.34718	10.0747	9.6703	10.312	9.53858	9.26068	9.61176	10.3743	8.06985	8.60844	9.50958	6.91049	9.03947	9.79279	9.58214	9.92035	9.65015	9.50997	10.0167	10.0759	9.73809	9.52415	11.5453	8.0045	10.5697	10.6196	6.12515	6.52513	9.037	8.69697	7.43879	9.2281	8.75622	7.98014	8.92778	9.67048	9.57403	10.2789	9.92822	9.12127	10.1765	9.83273	9.53761	8.51491	10.8585	6.08746	8.52787	8.87804087	7.78267	8.74584	9.65517	9.26679	9.87575	10.0587	9.46679	10.105	9.5074	10.0039	8.49905	10.3516	10.592	7.40854	5.83289	8.23122	5.51728	8.64674	9.10617	10.0908	8.69523	10.551	7.0917	8.57289	9.59451	7.27333	9.04603	8.44253	9.82146	9.99534	9.2305	10.1211	9.80768
P16157	7.93899	4.32912	5.91886	7.59694	5.8125	10.3992	8.9847	7.488509177	6.40088	7.338679228	7.65535	7.84361	7.55842	6.1127	6.32373	7.359831376	8.84549	8.22834	5.12102	9.10066	9.25574	7.457550372	5.74416	6.63952	7.520642541	7.477087194	6.80864	6.98982	6.75889	6.22882	5.9542	6.43962	9.36457	9.18016	7.421134074	7.447047062	8.21091	4.74953	10.1674	10.2781	7.25927	7.79377	5.86295	9.05365	7.414590006	4.99548	7.421643611	6.87529	6.18785	6.45286	6.27426	9.17243	7.459089053	8.5947	10.3042	7.5947	8.46638	4.848	10.698	7.528678676	6.07468	7.634595526	7.02901	5.97499	6.47086	7.05637	6.1127	9.14949	8.73978	7.609376806	7.848	10.4463	7.853	6.15987	6.17991	6.65249	8.93458	7.612942964	8.17493	7.73944	5.93074	9.95623	9.22328	7.457952299	6.32193	7.556325412	7.10852
P16949	10.3163	9.93044	11.2182	9.80235	11.256	10.3495	10.0319	9.45039	9.76818	8.72315	7.73539	9.25385	9.65338	10.2222	9.89633	8.53761	9.82528	9.93723	8.80219	10.109	9.46822	9.3015	11.8482	10.5197	9.2131	9.61526	9.58909	9.4475	10.556	9.84721	11.2384	11.3873	9.17443	8.10014	9.53916	10.0438	10.6796	9.34496	10.0345	9.75154	10.32	9.41806	9.36982	8.4187	9.49446	11.0035	9.70044	10.3461	11.6768	10.9532	11.2688	9.21116	9.5889	9.27543	9.45533	10.1321	9.83162	8.67384	9.54901	9.65356	10.6198	9.6837	8.98014	10.9827	10.4463	11.4209	11.5631	9.74517	7.06609	8.8558	11.2869	10.4624	9.84156	10.5609	10.4768	11.1618	9.14746	9.38845	9.14006	10.6461	10.2773	9.94163	9.89072	9.38241	10.5337	9.6014	9.62917
Q9NRW1	10.9717	9.69436	9.78185	10.6324	8.87191	10.0902	10.3137	9.41109	10.4728	8.63481	11.669	11.6987	11.6637	9.63063	10.1813	10.3927	10.792	10.9541	9.86481	10.1709	10.7054	9.27984	10.3024	10.213	9.07066	9.65105	10.6031	11.0048	8.54032	10.7082	10.7154	10.3613	10.4349	10.8148	9.62699	9.95928	11.8093	9.11972	9.78904	10.2475	11.036	10.6198	9.22424	10.0955	9.11582	9.86604	9.36785	10.7094	9.27775	10.1581	10.7468	10.6017	10.2716	11.0986	10.8824	11.53	10.9244	9.17468	10.3695	9.0634	10.4273	9.42731	10.6676	9.54477	10.6631	10.5187	10.2775	10.6968	11.4038	10.6001	10.9931	10.0006	11.2251	9.61324	10.1417	10.3557	10.6176	10.1217	10.9034	11.0351	8.95971	10.1623	10.3107	9.6388	10.5143	9.60233	10.7986
P26641	11.217	10.9142	11.5367	11.7224	11.1151	11.0797	11.3662	11.1833	9.99718	9.9613	10.3013	11.5356	11.2807	10.7347	11.1449	10.5779	11.2345	11.5335	11.1871	11.2602	11.2796	10.8771	10.8269	10.4237	9.60659	9.96939	11.1549	11.0005	10.1214	11.4316	10.5462	10.6523	10.8741	11.5744	9.5519	10.4486	11.649	11.2603	10.7613	10.6443	11.3951	11.1719	10.8078	11.3256	11.0595	10.8872	10.0792	11.0121	10.9992	11.577	10.3584	11.929	10.8829	11.7449	10.9902	11.5706	11.0911	11.1841	11.0453	11.0367	10.8708	9.93029	10.556	10.966	11.467	10.6589	10.3765	11.6919	11.581	10.6862	11.7331	10.9506	11.2805	10.6964	11.2007	10.5654	11.4824	10.3547	11.4401	11.5447	10.9378	10.8756	11.2298	11.147	10.7715	10.06	10.8824
P30044	9.98797	9.85502	5.99548	10.4417	8.13955	9.65051	10.4262	10.644	8.13955	8.08905	10.3683	9.42731	9.67913	8.94193	6.57592	10.5992	10.3845	10.5486	7.54381	9.95681	9.9928	10.7303	8.60881	8.90448	9.91856	10.2027	8.72144	10.1927	8.56301	4.57894	10.185	10.5599	6.27798	7.32553	9.26913	10.3507	10.2054	9.34207	9.07815	8.97068	9.98598	10.4701	7.04767	9.05907	10.4764	8.85736	8.44874	10.062	10.0503	6.18587	9.92689	8.68965	10.4437	10.388	9.11634	9.48261	10.3504	7.28263	10.0303	10.8208	8.15886	8.89815	10.1687	9.20555	5.91169	10.918	10.2427	8.07146	8.17542	10.5116	10.1333	9.544	9.74735	9.57667	6.2555	10.572	8.05582	10.5085	10.4671	10.4589	8.98613	9.29071	10.0199	10.3338	8.33628	9.7848	9.86202
Q99439	11.6756	11.6948	11.7257	11.2124	11.8012	12.0364	12.0478	10.2466	10.4537	10.5068	11.0553	11.5064	11.7645	11.4477	11.0034	12.2242	12.0444	10.9649	11.7205	10.9469	11.4532	10.2559	11.4052	10.7464	11.0175	11.2838	10.5427	11.1436	11.7006	11.7416	11.2321	11.136	10.9996	11.3725	11.7998	11.9838	11.4165	11.206	11.235	11.213	11.7784	11.7481	10.9865	10.3423	10.3108	11.3921	11.5648	11.3341	12.2015	11.572	11.1652	11.3338	12.3332	11.1431	12.1794	12.2966	11.8499	11.0279	11.0952	10.5943	11.2637	11.3631	11.2133	11.358	11.3097	12.1617	11.6789	11.0054	11.7549	12.2299	11.4056	11.6158	11.6811	11.884	11.4704	11.5629	11.3451	12.0295	11.7338	11.1016	11.4708	11.6248	11.3287	10.7572	11.3977	11.5797	11.1947
P39019	10.4752	11.0331	10.6423	9.11608	11.6695	9.37504	9.46189	10.3477	10.8516	10.6574	10.0589	10.5832	10.3657	11.2236	9.41109	11.483	10.9883	9.63336	10.325	10.7629	10.0576	10.6894	10.7311	10.6388	10.2471	10.935	11.4087	10.6043	10.6335	9.98142	10.8338	11.0359	9.57724	10.8517	10.9946	10.775	8.91528	11.1048	10.0458	9.01179	9.99605	11.0962	11.8858	10.0153	11.3369	10.6794	11.6302	11.3515	10.0423	9.63481	11.7285	10.2257	12.149	9.68124	8.92926	10.1431	10.8722	11.1413	10.1398	10.7901	11.8508	10.5201	10.3977	11.3284	10.4227	10.2803	10.2619	10.8912	8.99774	11.2769	8.78562	10.3111	10.5518	10.8232	10.2219	10.8809	10.3948	11.0521	11.1085	9.58703	10.8191	10.268	10.6012	10.9611	10.9224	10.7318	10.7593
P38606	10.0189	10.9284	9.78349	9.95594	9.19697	10.3355	10.3262	10.8671	9.64368	10.7117	10.8833	9.89603	9.78234	10.6595	9.9642	9.60455	9.58665	9.84204	9.65051	10.4363	10.0736	11.0712	9.71373	10.0318	10.9768	10.9472	11.0836	10.947	10.8	9.08215	10.1821	10.5529	10.0479	10.1733	10.2911	10.0764	9.62352	9.26491	10.1878	10.1701	10.0835	10.0261	9.39275	10.1492	10.8671	10.2536	10.6817	11.0326	10.9346	10.116	10.1248	10.8996	9.70977	9.78005	10.3038	10.014	9.77479	9.37112	10.4083	11.0975	9.68527	10.8541	11.0129	10.7333	9.68703	10.463	10.2389	10.5681	10.2581	9.89542	10.1362	10.4806	9.94017	10.6852	9.58496	10.4193	10.1254	10.0261	9.88463	9.71476	9.13725	10.3952	10.2871	10.9714	9.9507	10.8989	10.9022
P01009	10.1959	8.60214	10.2226	7.0917	7.06932	9.58871	9.86851	11.2244	10.4276	9.33383	9.61102	10.6448	10.9385	8.31198	11.6448	10.8394	10.4361	7.00562	6.75756	10.7378	10.7819	11.5005	10.8573	11.7997	11.5339	10.0657	9.48039	10.0179	9.47857	9.83889	11.0217	11.2115	9.1352	10.0665	10.2615	11.1202	6.92837	8.65964	10.9803	10.8128	10.1615	10.0013	8.05745	10.4613	11.1799	9.99166	10.113	9.19672	8.51806	10.1294	10.0864	9.49145	10.6521	8.04876	10.0479	10.8764	10.3498	7.78333	11.3743	11.2234	10.673	9.65069	10.3286	8.52317	10.9941	10.7017	11.5571	9.71407	9.55478	10.616	7.5744	10.3761	10.6555	8.96405	10.6825	10.7747	9.60622	10.5289	10.2892	7.52982	7.88203	10.4518	10.3962	10.9948	10.673	10.1749	9.93399
P61026	11.0947	9.38586	11.0298	11.3904	11.2101	9.83242	10.8289	9.03507	11.2322	10.8452	10.9676	12.2948	11.5273	9.9488	11.4029	10.4392	9.60529	10.6992	11.8812	11.1728	11.5543	9.40024	10.0639	10.5863	10.2823	10.163	10.7733	11.0142	9.28309	12.3204	10.6982	10.7463	11.7366	11.4448	9.67119	10.0095	11.9991	11.1729	9.57043	10.0531	10.5209	10.1838	10.6864	10.1458	9.37112	10.1876	10.4689	10.5927	9.33114	11.3037	10.7138	10.4507	10.4781	10.6951	10.5001	11.478	9.14873	11.1618	11.1397	9.03672	10.9208	10.193	10.699	10.1594	12.0943	10.6619	10.524	11.2198	11.5267	11.108	11.6568	9.73623	11.3457	10.0466	11.509	10.7019	11.0208	10.6134	10.9852	11.3541	11.2992	9.98485	11.3179	9.86357	10.7985	10.5694	10.7502
O14950	11.9775	11.4068	11.1134	10.8814	11.3242	11.8041	11.7899	10.4632	12.0058	10.168	12.6569	11.83	12.0248	11.1005	11.2422	11.3523	11.1365	10.9944	10.9922	11.4409	11.4577	11.1283	12.0586	11.662	10.9693	11.1625	10.7334	11.7124	11.0128	12.012	11.5422	11.6312	11.6574	11.495	10.9946	11.3462	12.981	12.3473	11.0176	11.723	11.4658	11.8815	10.6392	11.577	10.8709	11.6362	10.8957	11.5734	11.4025	10.985	11.5159	11.1672	11.0565	11.5548	12.2323	11.8278	11.1355	10.8961	11.4902	11.0044	11.5659	10.9741	11.4226	11.1252	11.3996	12.0334	11.3673	10.9491	12.3548	12.1775	11.2495	11.2151	11.7042	11.3936	11.4088	11.5819	11.5385	11.8092	12.3534	12.0932	12.1758	11.3451	11.5761	11.4601	11.7746	11.2782	11.6016
P24844	9.10066	9.15709	8.15886	9.36938	9.11374	9.83573	10.2593	8.98954	10.726	7.93015	10.6825	9.32957	9.848	8.4475	8.41109	8.99464	8.99577	9.25574	10.2816	9.73759	10.1536	8.59021	9.83083	8.73335	8.04985	9.21408	8.61361	9.27775	8.30332	10.3683	9.69818	9.47958	9.86805	10.7814	7.71287	8.29278	10.6134	10.1552	9.01486	9.90524	8.40812	8.28586	9.03837	9.3423	8.13648	9.42689	8.5411	9.13366	8.66107	8.19081	9.61784	9.30583	8.03672	9.43838	10.9983	9.57005	8.89754	9.92719	9.96506	8.42459	9.60474	8.75522	8.87252	8.93221	9.2703	10.382	9.02237	9.51944	11.8504	8.80155	9.61232	9.37699	9.33293	9.23506	9.38111	10.0832	10.2175	8.38198	8.92154	9.803	10.0093	9.53391	10.1877	9.38759	10.078	9.45635	9.12127
O75116	10.3639	7.73742	9.04439	9.28309	9.29186	8.52081	8.2503	6.88387	7.88813	7.58721	9.10617	10.9369	10.8224	7.66747	8.94075	3.37851	8.473324579	9.42101	9.9555	8.49065	8.74012	7.79051	7.92778	7.48462	7.50859	7.52591	9.1819	9.34052	9.29324	9.86279	9.02098	8.70632	8.98868	9.09196	6.07039	5.41616	10.2333	9.65069	8.74953	9.14134	10.3283	8.372949519	9.69262	8.2293	7.39917	7.42206	7.88692	8.94369	7.14466	8.99859	9.48623	8.61324	4.04439	9.6339	9.46312	10.5782	8.462364168	9.73352	8.2484	7.34784	7.92896	7.66747	8.91109	7.85362	9.57061	9.12076	9.11478	8.42878	9.05393	7.42122	9.59115	8.57667	10.5037	7.82464	9.3072	9.03645	8.70113	5.56377	8.545903783	9.52415	9.34074	8.41278	8.51688	7.63154	7.43212	7.7502	9.23888
Q96KP4	9.99464	10.3908	10.5249	9.69662	9.81266	10.1139	10.145	10.1473	9.57194	9.35953	9.73877	9.42227	9.53138	10.1038	9.4271	10.2348	9.95332	9.38241	9.62187	9.49165	9.60288	10.2175	10.7496	10.2199	9.49526	9.83826	9.93458	10.6881	9.97814	9.29806	10.0225	10.493	8.52513	9.4674	9.21844	9.94895	9.46414	10.3151	9.44997	9.7286	10.3516	10.0888	10.1114	9.10093	10.493	10.9574	10.2764	10.7136	10.6594	9.95884	10.0496	9.76967	10.0018	9.70874	9.6786	9.78545	10.1506	9.99887	9.39553	10.6068	10.429	9.82114	9.92184	9.90839	9.57346	10.2318	10.2166	9.37873	9.39468	9.47917	9.72383	9.76305	9.68089	10.0311	9.83336	10.4956	9.2148	9.80462	9.92793	9.87037	9.7705	9.898	9.56948	10.4021	10.4575	10.0554	10.7428
P48047	10.6265	10.582	11.0251	10.9151	11.1669	10.1557	9.70027	9.61029	11.4388	10.9115	11.1222	11.2826	11.0419	10.9183	10.717	11.0161	11.1028	10.6616	11.6921	10.2221	10.0767	9.94486	10.4601	10.6994	10.0532	9.95739	11.0771	10.7262	10.2709	11.2961	10.5291	10.9907	10.3346	11.2858	9.72945	10.5193	11.0551	11.0849	10.9242	10.7078	10.8441	11.3285	11.0443	9.12567	10.0562	10.2459	10.7289	11.1895	10.1839	10.7712	11.162	10.704	10.5015	10.5394	10.6457	10.9207	11.0408	11.3804	9.99661	10.0111	11.0187	10.1425	10.6283	10.5027	10.9905	10.8204	10.6453	10.5919	11.1285	10.4748	10.858	11.0701	10.8577	10.6611	11.0116	10.9945	10.8132	10.5314	11.418	10.7921	11.0091	10.7549	10.0119	9.96449	10.5969	10.3709	10.8437
Q16531	10.1755	7.61692	10.3514	7.53838	9.73386	9.30606	8.69975	10.0527	9.85034	7.38457	7.38802	9.87329	10.0348	7.58421	10.2537	7.14873	8.46557	7.37851	9.75939	8.54767	8.48382	9.55804	10.2622	9.92941	8.12825	7.53216	7.61102	7.41363	6.94369	9.75639	9.80574	9.34607	9.19353	8.56301	7.23649	7.41785	6.51412	10.1273	8.99237	9.00169	10.281	7.78725	10.5856	10.1544	9.54323	10.4227	7.11894	7.6893	7.71973	10.2065	9.22014	9.79458	7.00787	8.01959	9.00955	10.0596	8.13904	10.5326	8.82369	9.75889	9.9901	7.38024	6.96694	7.49185	9.85705	9.46964	9.25574	9.16591	8.63372	7.11166	7.19771	9.12903	10.1119	7.23458	10.1429	9.55516	8.97441	7.24413	7.73877	6.86419	9.71081	9.19081	8.63481	9.59656	10.0565	7.51649	7.66534
P10644	11.3605	11.2249	11.1169	11.1555	10.0721	11.5242	9.61305	10.4113	9.81009	10.7942	10.8679	11.1186	11.1238	10.5641	10.836	10.9147	10.9286	11.0759	10.2947	9.61747	9.83368	10.2209	9.99407	9.3966	10.8308	10.9802	10.6004	10.796	10.4016	11.105	10.8577	11.1215	10.15	10.4609	11.0278	10.8066	11.2496	10.1399	10.8903	10.9718	11.1747	11.0311	9.9587	9.34541	10.5249	10.3338	11.2319	10.8425	10.9871	11.1766	11.2079	10.8891	11.1133	11.3651	11.4465	10.9684	11.017	9.56148	9.49325	10.3462	9.88417	10.9857	10.4572	10.7063	11.0314	11.228	10.7606	10.3677	10.8563	11.0633	11.1657	10.9807	10.9695	10.7991	11.0554	11.2	10.3409	10.9857	11.1102	10.8861	9.97413	11.1385	9.68194	10.5283	9.87636	11.0757	10.6808
Q03518	8.20994	6.67807	5.39917	7.97039	6.72247	6.93546	8.20994	7.55919	8.23362	9.328	7.60585	8.46107	8.83416	7.83036	5.96809	8.03452	9.21359	8.81858	7.30743	8.69209	8.74987	8.09698	7.74349	7.76487	9.07708	9.31175	7.85798	7.35403	7.12309	6.18785	9.1393	9.05202	6.65535	6.33092	8.75989	9.10014	7.06609	8.38068	7.86295	7.60288	7.97556	7.94953	7.79636	8.25172	8.34119	7.12825	9.3226	7.48301	6.14364	5.70044	9.34252	6.27984	8.45039	7.31198	7.18686	7.96058	9.0917	7.83542	8.53722	7.83289	8.03067	9.14619	7.22497	6.63807	6.14364	8.56567	9.2503	6.0917	7.51175	8.52317	7.46679	7.92125	8.31696	6.63517	6.07039	9.00478	6.6014	8.36107	8.19672	7.19967	6.89603	7.49665	8.45902	8.02625	7.59021	9.15127	7.30743
