	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS
P08133	13.7671	13.5813	13.8162	13.5598	13.869	14.0226	13.9351	14.4781	13.4654	13.3036	13.494	12.7461	13.3379	13.4594	12.9066	13.5593	12.4831	12.8093	12.3086	13.4973	13.3503	13.625	13.6357	13.3465	13.5079	13.0482	13.426	13.28	12.4021	12.6362	13.0574	13.4699	12.8621	12.5095	12.3475	13.5446	12.5125	13.3099	13.1618	12.3174	14.2023	13.2269	12.7878	12.957	13.7582	14.1184	13.3675	13.6942	13.9298	13.8532	13.0829	13.7814	13.2283	12.3164	12.2603	13.2508	12.4446	12.8952	13.4917	13.6999	13.3834	13.2822	13.4451	13.2066	12.9316	12.9156	13.0299	12.9792	11.6481	12.6628	12.9976	13.147	13.5219	13.1604	13.3675	13.3541	13.1812	13.4878	13.2049	13.4769	13.5438	13.2988	13.4434	13.4372	13.3899	13.4202	13.3663
P20700	13.7116	13.6481	14.0294	13.2417	13.8041	13.6809	13.869	15.0843	13.898	14.4705	13.9844	12.832	13.0435	13.5507	13.6009	13.4358	12.8339	12.9803	12.5065	13.8914	13.3568	13.3974	13.1942	13.3767	13.2685	13.5424	14.1598	13.5697	13.5581	12.7018	12.7968	13.2679	13.0539	12.89	13.1937	13.4587	12.7339	13.1872	13.7164	12.7295	13.8042	13.8436	13.2242	14.1443	13.5746	13.8771	13.4831	13.8441	13.9209	14.1635	12.885	14.1329	13.496	12.8808	12.417	13.2165	12.8603	13.0428	13.8133	13.5543	13.2969	13.1546	13.85	13.6218	13.431	12.96	13.1031	13.4189	12.0557	12.7791	13.0932	13.6165	13.3904	13.4548	13.7373	13.1677	13.4199	13.4615	13.4667	13.4428	13.7509	13.5557	13.7877	13.4296	13.3142	13.4871	13.7886
P05164	12.4554	13.2565	12.6617	13.5343	12.6897	12.2524	11.9577	12.5256	13.0915	13.3204	12.6276	13.2159	12.4105	13.5549	14.385	13.5593	14.159	13.4555	12.4053	14.0205	13.4192	13.9202	12.8931	14.8867	14.7139	13.4048	13.8541	13.9906	14.1345	13.1974	13.3173	13.7209	13.527	14.1237	12.9768	13.6462	12.9055	13.2538	14.6115	12.8421	12.7083	13.792	12.848	12.6289	13.6651	12.3278	12.6439	12.3017	12.3231	12.9391	12.4221	12.7381	12.4641	13.4205	12.0395	12.9171	14.0538	13.2311	14.1009	13.331	13.6865	13.2756	14.0311	13.5468	13.7967	13.2056	13.9468	13.7502	12.1336	13.1301	13.6145	14.0894	13.8785	13.5783	13.8742	13.1057	13.6466	13.4283	13.8939	14.3151	13.9457	13.986	13.2709	12.9697	13.6636	13.1217	13.5356
O43707	12.4429	12.6391	11.6425	12.5042	12.35	12.7962	13.0687	12.7235	11.5885	12.7787	12.7938	12.4606	12.7119	12.3286	11.607	12.5619	12.3417	12.6542	12.5671	12.7452	12.8016	12.9758	11.904	11.9177	12.63	12.3612	13.0449	12.9458	12.0107	11.4318	12.7801	12.8823	11.2475	12.0366	11.9879	12.8372	12.5917	12.6235	12.7284	12.8483	12.8701	12.5038	12.3655	13.3801	12.7779	12.079	12.5391	12.9254	12.791	11.8442	12.6068	12.4121	12.8917	12.4412	12.6282	12.6845	12.4443	12.6155	12.7209	12.7891	11.7532	12.4143	13.1017	12.2714	11.4732	13.0133	12.9466	12.0977	12.0093	12.4822	12.4761	12.6445	12.582	12.3075	11.5967	12.8655	11.8949	12.4683	12.5968	12.713	12.4367	12.6743	12.79	12.8668	11.9455	12.5309	12.9167
P07996	13.0267	13.7641	12.6804	13.9613	12.8988	13.6913	13.2035	13.3535	13.9788	12.2862	14.633	13.1152	13.4111	12.9893	11.945	13.2295	13.4893	12.8967	14.294	12.64	13.4058	12.8954	13.2242	12.0495	12.308	12.9088	12.6775	13.1002	12.5897	12.7985	12.7949	12.6188	12.7415	14.1538	12.7543	12.7674	14.0119	14.0862	13.0878	14.374	12.6609	12.5572	12.4471	12.5922	12.6661	13.052	13.2205	12.418	13.3462	12.0739	12.3439	12.6893	12.8721	12.57	13.9713	13.3071	13.1995	13.538	13.1205	12.7523	13.4785	13.2031	11.9585	13.5582	13.8447	13.3542	12.7756	12.9652	14.4815	13.8802	14.069	13.125	13.0976	13.1852	13.3089	13.2597	13.434	13.3257	13.4809	13.4491	13.4469	13.5278	13.0832	13.4653	13.2516	13.6607	13.0754
P11021	13.1504	12.7698	12.7918	13.4354	13.1826	12.7537	12.7995	12.7549	13.1208	12.9516	13.2332	13.5361	13.399	13.4663	12.6134	13.4862	13.0793	13.4027	14.269	13.6004	13.1966	12.5853	13.5398	13.1896	13.205	13.3998	13.9209	13.3103	12.6107	13.3373	12.9527	13.6005	12.6125	13.9744	13.3894	13.3926	13.6804	13.7349	13.3796	12.7819	12.757	12.8554	13.6252	12.5359	12.5472	12.825	13.2163	13.0752	12.7746	12.4087	12.9247	12.9297	13.0991	12.8614	13.0462	13.5868	13.0108	14.1198	12.9152	12.4209	13.5533	13.051	13.276	13.122	12.8313	13.0691	13.2829	13.4281	13.5842	13.4598	13.5883	13.2373	13.3083	13.0862	13.0888	13.1971	13.1591	13.2273	13.3414	13.4929	13.5748	13.1063	13.0793	13.0688	13.2344	13.3949	13.2764
P46940	12.167	12.6053	12.81	12.4516	12.8167	11.4681	11.905	11.4934	11.8574	12.4737	11.8687	12.5066	12.2151	12.4966	12.4555	12.4258	12.3781	12.3694	12.239	12.5017	12.0301	12.2207	12.1818	12.3674	12.8165	12.777	12.7415	12.5515	12.2274	12.2406	12.5824	12.9859	12.0845	12.2514	12.3906	12.4283	11.671	12.5005	11.9736	11.6142	12.2504	12.4458	12.5865	12.3378	12.3837	12.0082	13.492	13.0332	12.0277	12.2519	13.2669	12.3843	12.5867	12.1616	11.3175	12.2253	12.4471	12.6537	12.4209	12.2497	12.593	12.69	12.9056	12.5069	12.2716	12.4768	12.6499	12.4419	11.5149	12.0573	12.0496	12.2063	12.4404	12.3416	12.3913	12.6491	12.2056	12.0651	12.2871	12.0504	12.452	12.0864	12.282	12.1635	12.3424	12.7412	12.5891
P11142	13.3706	13.2551	13.3938	13.81	13.0243	13.2937	12.9981	12.5688	12.9736	12.9875	12.8075	13.551	13.5063	13.8383	12.9057	13.5265	13.1934	13.2904	13.7396	13.2242	13.3543	13.0866	13.6017	13.289	13.074	12.9308	13.649	13.2041	12.7093	13.57	12.9694	13.2912	12.8867	14.1984	12.5861	13.4769	13.3665	13.0144	12.994	13.0979	13.1699	13.1101	12.6429	13.2903	13.1629	13.0671	13.6203	13.0935	13.3384	12.8341	13.0165	13.2639	12.9265	12.8134	13.3793	13.7639	13.072	13.1199	12.6075	12.9804	13.7578	12.9191	13.3262	13.2617	13.1137	12.8728	13.1058	13.563	13.7837	13.1271	13.8057	13.1455	13.3661	13.4377	13.2236	13.0454	13.5693	13.2181	13.4235	13.3922	13.0403	13.4452	13.1777	13.3142	13.4341	13.3648	13.2019
P02788	11.6702	13.021	10.8893	12.2855	11.7585	10.7712	11.1433	11.28	10.8045	12.4509	11.1511	11.9782	10.9607	12.6493	13.9677	12.678	13.763	11.8867	11.8411	13.5439	13.5051	14.2908	11.4955	14.4589	14.927	12.7153	13.8533	12.6275	13.6835	11.8483	12.9425	13.3059	12.6882	12.3699	12.744	13.2648	11.4388	12.4234	13.1429	11.6572	11.3806	12.9126	12.3199	11.7882	14.0013	10.8247	11.4058	11.127	11.0136	12.049	11.5498	11.4606	11.4449	12.0271	10.9058	11.5823	13.3744	12.5844	13.982	13.887	11.7233	12.3107	14.4409	12.4449	13.1199	13.2182	14.4052	13.2015	10.8094	12.4347	11.7058	12.3698	13.6085	13.3097	12.8146	12.8082	13.5843	13.3646	13.0542	13.4795	13.9927	13.4646	12.8684	12.6566	12.8839	12.6204	13.0921
P67936	14.3469	13.2303	13.7122	13.7994	14.7056	14.6598	14.0979	14.3285	14.6876	13.2337	14.8289	13.7376	14.1489	13.3133	13.5298	13.7755	14.1745	13.1702	14.5267	13.5128	14.2755	13.2366	14.9106	13.1973	13.1542	14.3046	13.0546	14.0702	13.2781	14.6111	13.1732	12.8135	13.2923	14.555	13.3637	13.8996	15.1012	14.1457	13.5548	14.5483	13.4831	14.2148	13.378	12.604	13.0093	14.5833	13.8234	13.9864	14.5754	14.2776	13.0477	13.4206	14.218	13.4812	15.2251	14.9569	13.9239	13.5951	13.2194	13.2654	13.9239	14.1601	13.192	14.106	14.1624	14.0305	13.5459	14.3539	14.8269	14.2294	14.6488	13.746	13.7354	14.2853	13.9938	13.4786	14.6959	14.7006	14.6009	13.7176	14.6592	13.9398	14.0512	13.975	14.2099	14.5068	14.0624
